269.425, 132.068, 8.350, 10.180 False
269.148, 132.034, 8.349, 10.213 False
268.872, 132.001, 8.349, 10.246 False
268.596, 131.968, 8.349, 10.279 False
268.319, 131.935, 8.349, 10.312 False
268.043, 131.902, 8.348, 10.345 False
267.767, 131.869, 8.348, 10.378 False
267.491, 131.835, 8.348, 10.411 False
267.214, 131.802, 8.348, 10.444 False
266.938, 131.768, 8.347, 10.477 False
266.662, 131.734, 8.347, 10.510 False
266.386, 131.701, 8.347, 10.543 False
266.110, 131.667, 8.346, 10.576 False
265.834, 131.632, 8.346, 10.609 False
265.558, 131.598, 8.346, 10.642 False
265.281, 131.564, 8.346, 10.675 False
265.005, 131.530, 8.345, 10.708 False
264.729, 131.496, 8.345, 10.741 False
264.453, 131.462, 8.345, 10.774 False
264.177, 131.428, 8.345, 10.807 False
263.901, 131.394, 8.344, 10.840 False
263.625, 131.360, 8.344, 10.873 False
263.349, 131.326, 8.344, 10.906 False
263.073, 131.291, 8.344, 10.939 False
262.797, 131.257, 8.343, 10.972 False
262.521, 131.223, 8.343, 11.005 False
262.245, 131.189, 8.343, 11.038 False
261.969, 131.156, 8.343, 11.071 False
261.693, 131.122, 8.342, 11.104 False
261.417, 131.088, 8.342, 11.137 False
261.141, 131.054, 8.342, 11.170 False
260.865, 131.020, 8.342, 11.203 False
260.589, 130.987, 8.342, 11.236 False
260.313, 130.953, 8.341, 11.269 False
260.037, 130.920, 8.341, 11.302 False
259.761, 130.886, 8.341, 11.335 False
259.485, 130.853, 8.341, 11.368 False
259.209, 130.821, 8.340, 11.401 False
258.932, 130.788, 8.340, 11.434 False
258.656, 130.755, 8.340, 11.467 False
258.380, 130.722, 8.340, 11.500 False
258.104, 130.689, 8.340, 11.533 False
257.828, 130.657, 8.340, 11.566 False
257.552, 130.624, 8.340, 11.599 False
257.276, 130.592, 8.339, 11.632 False
257.000, 130.560, 8.339, 11.665 False
256.724, 130.528, 8.339, 11.698 False
256.448, 130.496, 8.339, 11.731 False
256.172, 130.464, 8.339, 11.764 False
255.895, 130.432, 8.339, 11.797 False
255.619, 130.401, 8.339, 11.830 False
255.343, 130.369, 8.338, 11.863 False
255.067, 130.338, 8.338, 11.896 False
254.791, 130.307, 8.338, 11.929 False
254.514, 130.277, 8.338, 11.962 False
254.238, 130.246, 8.338, 11.995 False
253.962, 130.216, 8.338, 12.028 False
253.686, 130.186, 8.338, 12.061 False
253.409, 130.156, 8.338, 12.094 False
253.133, 130.127, 8.337, 12.127 False
252.856, 130.098, 8.337, 12.160 False
